"V3" "V4"
"1" 2.3083 -2.8849
"2" 2.1101 0.88393
"3" -2.1365 0.11489
"4" 0.51002 -2.9675
"5" -2.1049 -2.231
"6" 0.81285 -3.3197
"7" -2.6513 0.10319
"8" 2.937 0.87096
"9" 1.4197 3.4318
"10" 0.71739 -3.6809
"11" -1.1112 -2.1967
"12" -0.94594 -1.7501
"13" -0.40477 -2.083
"14" 2.4725 2.9453
"15" 3.2077 -1.3708
"16" -2.2415 -3.0126
"17" -1.0796 -2.6064
"18" 2.623 0.84893
"19" -0.68495 3.3005
"20" 0.85608 2.7015
"21" -3.1983 1.9559
"22" 1.5799 2.1597
"23" 1.2736 -2.0468
"24" -2.3213 2.6161
"25" 3.2102 -1.501
"26" -2.6117 -1.2965
"27" 2.0596 1.5571
"28" 1.212 -2.3733
"29" -1.8145 -2.8568
"30" 1.3786 2.5736
"31" -1.429 2.1459
"32" 3.0226 1.3121
"33" 2.615 2.7351
"34" 0.24663 2.5983
"35" -3.3261 1.7242
"36" 0.18747 2.86
"37" -2.039 1.1726
"38" -1.9461 -3.4699
"39" 2.3156 1.076
"40" 0.63729 -2.8387
"41" 1.6326 -3.0584
"42" 0.82614 -2.9207
"43" -3.2226 -1.9532
"44" -3.0891 2.3391
"45" -0.18582 -2.9176
"46" -2.7544 -0.40839
"47" 1.8877 -3.4141
"48" 2.0921 2.4878
"49" -2.8011 -0.91824
"50" -1.528 -2.0427
"51" -0.075345 -2.2293
"52" -1.0668 -2.209
"53" -0.95013 2.3598
"54" 1.0808 1.9292
"55" 1.5849 -2.3805
"56" -0.96475 -2.4491
"57" -2.9306 -0.96382
"58" 0.6678 2.0693
"59" 2.3182 0.916
"60" 3.4437 -0.67886
"61" -3.8247 0.93449
"62" 1.0456 2.477
"63" 3.5107 -0.26874
"64" 1.2199 -1.8872
"65" 2.762 -0.53932
"66" 1.5015 1.9738
"67" 1.0274 3.3649
"68" -2.6448 -1.0936
"69" 0.044062 2.4146
"70" -2.9754 1.5313
"71" -4.0348 0.4158
"72" 2.1606 -0.43992
"73" -3.5683 1.5543
"74" -2.3153 -1.2939
"75" 3.9307 -0.035931
"76" 0.56833 2.4601
"77" -3.8293 0.22445
"78" 1.0497 -3.0837
"79" -2.1323 0.092003
"80" 0.51654 -3.1943
"81" 0.78665 2.098
"82" 1.2374 -1.601
"83" 1.4583 -2.3595
"84" 2.5725 3.0378
"85" 0.72389 -2.8154
"86" 2.0653 1.5683
"87" 0.028744 2.2596
"88" 1.7399 3.4254
"89" 1.6236 -1.8316
"90" -3.7644 0.41487
"91" 2.4166 -2.5154
"92" 2.78 1.657
"93" -3.0225 -0.20852
"94" 1.7028 2.0678
"95" -1.6408 3.617
"96" 2.4986 -2.836
"97" 1.6401 -2.7794
"98" 2.357 0.50187
"99" -0.44284 2.1705
"100" 0.43407 -2.2713
"101" -1.2706 -1.2303
"102" 1.2049 1.0871
"103" -0.2249 -0.10564
"104" 1.1239 0.32718
"105" 0.15854 -0.34749
"106" -0.16499 1.3228
"107" 0.015169 0.069513
"108" -0.13936 -1.1183
"109" -1.0516 1.1675
"110" -0.83468 -1.7941
"111" -0.36066 -0.29655
"112" 0.15877 -0.16839
"113" 0.17916 -0.069809
"114" -0.16337 -0.30035
"115" 0.0065587 -0.090599
"116" -0.46225 -0.12929
"117" -0.70681 -1.6929
"118" 1.8419 0.49758
"119" 1.0199 0.17965
"120" -1.2048 0.90626
"121" 0.67977 1.1577
